Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
AADI,Adaro Andalan Indonesia Tbk.,11600.0,11500.0,11600.0,11025.0,11150.0,-450.0,12207700.0,136828192500.0,10752.0,7576700.0,4855700.0
AALI,Astra Agro Lestari Tbk.,8350.0,8350.0,8450.0,7825.0,7850.0,-500.0,8097300.0,64871617500.0,6918.0,3698600.0,1330900.0
ABBA,Mahaka Media Tbk.,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDA,Asuransi Bina Dana Arta Tbk.,5000.0,0.0,4980.0,4970.0,4970.0,-30.0,1800.0,8961000.0,7.0,0.0,400.0
ABMM,ABM Investama Tbk.,2740.0,2740.0,2750.0,2700.0,2700.0,-40.0,403500.0,1093509000.0,366.0,12100.0,84800.0
ACES,Aspirasi Hidup Indonesia Tbk.,346.0,348.0,348.0,338.0,340.0,-6.0,18467200.0,6301516200.0,3371.0,402300.0,10033300.0
ACRO,Samcro Hyosung Adilestari Tbk.,62.0,63.0,63.0,61.0,61.0,-1.0,4403000.0,270943500.0,453.0,480000.0,738300.0
ACST,Acset Indonusa Tbk.,103.0,0.0,103.0,93.0,93.0,-10.0,2070000.0,194642500.0,131.0,0.0,9500.0
ADCP,Adhi Commuter Properti Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
ADES,Akasha Wira International Tbk.,31975.0,0.0,31975.0,31800.0,31950.0,-25.0,7300.0,233170000.0,23.0,0.0,0.0
ADHI,Adhi Karya (Persero) Tbk.,133.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
ADMF,Adira Dinamika Multi Finance Tbk.,8775.0,8775.0,8775.0,8700.0,8700.0,-75.0,21000.0,183440000.0,42.0,600.0,1100.0
ADMG,Polychem Indonesia Tbk,252.0,252.0,256.0,246.0,246.0,-6.0,466000.0,115981400.0,97.0,0.0,29300.0
ADMR,Alamtri Minerals Indonesia Tbk.,1535.0,1530.0,1570.0,1510.0,1520.0,-15.0,23520200.0,35929023000.0,6376.0,8382400.0,7686800.0
ADRO,Alamtri Resources Indonesia Tbk.,2620.0,2620.0,2640.0,2590.0,2610.0,-10.0,32366600.0,84408011000.0,11448.0,9306100.0,13083500.0
AEGS,Anugerah Spareparts Sejahtera Tbk.,49.0,0.0,52.0,48.0,49.0,0.0,1311800.0,64216900.0,128.0,329000.0,0.0
AGAR,Asia Sejahtera Mina Tbk.,2300.0,2450.0,2870.0,2430.0,2800.0,500.0,7024800.0,19354308000.0,7683.0,341000.0,377900.0
AGII,Samator Indo Gas Tbk.,3620.0,3550.0,3580.0,3500.0,3500.0,-120.0,323700.0,1140344000.0,294.0,34600.0,46700.0
AGRO,Bank Raya Indonesia Tbk.,143.0,143.0,145.0,140.0,141.0,-2.0,6430500.0,909600200.0,658.0,163600.0,630900.0
AGRS,Bank IBK Indonesia Tbk.,59.0,59.0,59.0,57.0,58.0,-1.0,3654700.0,209836700.0,171.0,0.0,488500.0
AHAP,Asuransi Harta Aman Pratama Tbk.,100.0,102.0,106.0,97.0,100.0,0.0,71553500.0,7162452000.0,3834.0,7179800.0,15492100.0
AIMS,Artha Mahiya Investama Tbk.,492.0,494.0,496.0,478.0,484.0,-8.0,780800.0,381139200.0,383.0,0.0,0.0
AISA,FKS Food Sejahtera Tbk.,133.0,131.0,131.0,122.0,124.0,-9.0,28238500.0,3553958300.0,2771.0,1005600.0,1929500.0
AKKU,Anugerah Kagum Karya Utama Tbk.,38.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
