date,rank,rank_change,previous_rank_date,stock_code,company,transaction_value,value_source,volume,avg_value_20d,ohlcv_date,close,return_1d,return_3d,return_5d,ma20,ma50,rsi14,atr14,atr_pct,volume_vs_20d,support_prior_20d,resistance_prior_20d,trend,setup,entry,stop,target,distance_to_entry,risk_per_share,risk_pct_of_entry,reward_to_risk,foreign_buy_1d_shares,foreign_sell_1d_shares,foreign_net_1d_shares,foreign_net_1d_idr,foreign_net_3d_idr,foreign_net_5d_idr,foreign_sessions_5d,foreign_unit_1d,value_vs_20d_avg,foreign_net_pct_turnover,activity_signal,flow_check
2026-09-21,1,,,AMMN,Amman Mineral,441919460000,IDX Stock Summary (official),93461600,398668384500.0,2026-09-21,4660.0,-0.004273504273504258,-0.09514563106796114,-0.0862745098039216,4636.5,4331.8,52.26015585751082,209.99646758750288,0.04506361965397057,1.110984910013962,4270.0,5275.0,Bullish,Pullback long (reclaim MA20),4660.0,4340.0,5300.0,0.0,320.0,0.06866952789699571,2.0,12679600,16579600,-3900000,-18440577670,-364097738313,-313034622702,5,shares,1.1084888523433942,-0.041728367585351415,Normal activity,Flow diverges
2026-09-21,2,,,BBCA,Bank Central Asia,436969230000,IDX Stock Summary (official),69914100,805008946875.0,2026-09-21,6225.0,-0.011904761904761862,-0.015810276679841917,-0.04230769230769227,6476.25,6393.5,40.71562465470049,144.72154507547341,0.023248440975979664,0.562441029513229,6225.0,6850.0,Mixed,Pullback long (reclaim MA20),6500.0,6250.0,7000.0,0.04417670682730934,250.0,0.038461538461538464,2.0,29185800,50235700,-21049900,-131563713107,-512511583790,-613213904574,5,shares,0.5428128863614377,-0.3010823281698805,Normal activity,Flow diverges
2026-09-21,3,,,ANTM,Aneka Tambang,358115177000,IDX Stock Summary (official),108664300,362430951050.0,2026-09-21,3240.0,-0.029940119760479056,0.006211180124223503,0.01567398119122254,3180.5,3088.4,54.96213030804151,107.46139811059015,0.03316709818228091,0.9578933667804073,3020.0,3350.0,Bullish,Pullback long (reclaim MA20),3240.0,3070.0,3580.0,0.0,170.0,0.05246913580246913,2.0,17451400,59929000,-42477600,-139989612435,27607585349,252490306952,5,shares,0.9880921482078262,-0.39090667312041905,Normal activity,Mixed flow
2026-09-21,4,,,BUMI,Bumi Resources,351976529700,IDX Stock Summary (official),1812953700,664378018160.0,2026-09-21,192.0,-0.005181347150259086,-0.04950495049504955,-0.07692307692307687,203.95,184.56,44.79702885190096,9.804492775116831,0.05106506653706683,0.5630621005884887,181.0,232.0,Mixed,Pullback long (at support),192.0,176.0,224.0,0.0,16.0,0.08333333333333333,2.0,263542200,194943700,68598500,13318079757,-60891295401,-61046638714,5,shares,0.5297835269667737,0.03783797677746125,Normal activity,Mixed flow
2026-09-21,5,,,TPIA,Chandra Asri,341688584000,IDX Stock Summary (official),181223400,342968354100.0,2026-09-21,1880.0,0.02452316076294281,0.03013698630136985,0.008042895442359255,1924.75,2006.5,43.093461094287065,72.38337526591992,0.03850179535421273,1.0222318854158332,1805.0,2080.0,Bearish,No long setup (downtrend),,,,,,,,68335400,56949400,11386000,21467791783,29329485188,24702309763,5,shares,0.9962685475651003,0.06282853097310385,Normal activity,No trigger
2026-09-21,6,,,BBRI,Bank Rakyat Indonesia,337759369000,IDX Stock Summary (official),102594200,614880767200.0,2026-09-21,3300.0,-0.0030211480362537513,-0.009009009009009028,-0.02941176470588236,3312.5,3139.8,53.50038718506105,72.78952165269772,0.022057430803847793,0.5546508331031844,3100.0,3440.0,Mixed,Pullback long (reclaim MA20),3320.0,3200.0,3560.0,0.0060606060606061,120.0,0.03614457831325301,2.0,72478700,65458100,7020600,23113133354,-14468388995,-123167306775,5,shares,0.5493087229546378,0.06843076898926821,Normal activity,Mixed flow
2026-09-21,7,,,BMRI,Bank Mandiri,315257706000,IDX Stock Summary (official),74720000,576725687700.0,2026-09-21,4200.0,-0.014084507042253502,-0.014084507042253502,-0.039446609754414275,4320.0,4260.8,43.7101213319576,85.41231408342043,0.020336265257957245,0.5611048177892455,4130.0,4480.0,Mixed,Pullback long (reclaim MA20),4320.0,4190.0,4580.0,0.02857142857142847,130.0,0.03009259259259259,2.0,17552900,50883600,-33330700,-140628479943,-149749219111,-671111088678,5,shares,0.5466337163812792,-0.44607467879944546,Normal activity,Flow diverges
2026-09-21,8,,,TINS,TIMAH (Persero) Tbk.,308341865000,IDX Stock Summary (official),63138200,199267343900.0,2026-09-21,4900.0,0.03157894736842115,0.047008547008547064,0.042553191489361764,4412.5,3992.6,75.43935534870992,188.07856627461052,0.0383833808723695,1.4154250986415096,3940.0,4910.0,Bullish,Breakout long,4910.0,4620.0,5500.0,0.0020408163265306367,290.0,0.059063136456211814,2.0344827586206895,26469200,16306000,10163200,49633027903,33568843449,48747685490,5,shares,1.547377803935289,0.16096752837309328,Foreign accumulation,Flow confirms
2026-09-21,9,,,BULL,Buana Lintas Lautan Tbk.,253091231600,IDX Stock Summary (official),622808100,193132030810.0,2026-09-21,404.0,0.03589743589743599,-0.0049261083743842304,-0.047169811320754707,427.4,419.96,43.78617799180821,23.92349895820829,0.059216581579723496,1.3865526336203984,382.0,478.0,Mixed,Pullback long (at support),404.0,370.0,472.0,0.0,34.0,0.08415841584158416,2.0,120518900,79122900,41396000,16822139312,4535776803,5270192797,5,shares,1.3104570512645146,0.06646670137741746,Foreign accumulation,Flow confirms
2026-09-21,10,,,SQMI,Wilton Makmur Indonesia Tbk.,200162310500,IDX Stock Summary (official),1800324500,60913644940.0,2026-09-21,109.0,0.101010101010101,0.2528735632183907,0.19780219780219777,88.95,74.26,65.96281601555185,11.906172290292997,0.10923093844305501,2.953760019050287,60.0,114.0,Bullish,"No setup (mid-range, no trigger nearby)",,,,,,,,315401200,276817900,38583300,4289739141,-14321564968,-19624852734,5,shares,3.2860012021470735,0.021431303077409272,Price-led activity,No trigger
